Email,Music_ID_Liked,Rating
sgh4123@ajou.ac.kr,0,4
sgh4123@ajou.ac.kr,1,5
sgh4123@ajou.ac.kr,2,4
sgh4123@ajou.ac.kr,3,5
sgh4123@ajou.ac.kr,4,5
sgh4123@ajou.ac.kr,5,4
a@ajou.ac.kr,4,5
a@ajou.ac.kr,5,4
a@ajou.ac.kr,7,5
a@ajou.ac.kr,8,4
a@ajou.ac.kr,9,4
a@ajou.ac.kr,10,5
b@ajou.ac.kr,9,5
b@ajou.ac.kr,10,4
b@ajou.ac.kr,12,5
b@ajou.ac.kr,13,4
b@ajou.ac.kr,14,5
b@ajou.ac.kr,15,5
c@ajou.ac.kr,16,4
c@ajou.ac.kr,17,4
c@ajou.ac.kr,18,5
c@ajou.ac.kr,19,4
c@ajou.ac.kr,21,4
c@ajou.ac.kr,22,4
d@ajou.ac.kr,21,5
d@ajou.ac.kr,22,5
d@ajou.ac.kr,23,5
d@ajou.ac.kr,24,5
d@ajou.ac.kr,31,4
d@ajou.ac.kr,32,5
e@ajou.ac.kr,39,5
e@ajou.ac.kr,42,4
e@ajou.ac.kr,44,5
e@ajou.ac.kr,52,5
e@ajou.ac.kr,53,4
e@ajou.ac.kr,54,4
a2@ajou.ac.kr,52,4
a2@ajou.ac.kr,53,5
a2@ajou.ac.kr,54,5
a2@ajou.ac.kr,55,4
a2@ajou.ac.kr,58,4
a2@ajou.ac.kr,59,5
a3@ajou.ac.kr,58,4
a3@ajou.ac.kr,59,5
a3@ajou.ac.kr,65,4
a3@ajou.ac.kr,67,4
a3@ajou.ac.kr,69,4
a3@ajou.ac.kr,70,4
a4@ajou.ac.kr,74,4
a4@ajou.ac.kr,76,5
a4@ajou.ac.kr,78,5
a4@ajou.ac.kr,81,4
a4@ajou.ac.kr,83,5
a4@ajou.ac.kr,86,4
a5@ajou.ac.kr,87,5
a5@ajou.ac.kr,94,4
a5@ajou.ac.kr,96,5
a5@ajou.ac.kr,98,4
a5@ajou.ac.kr,0,5
a5@ajou.ac.kr,1,4
a6@ajou.ac.kr,6,4
a6@ajou.ac.kr,11,5
a6@ajou.ac.kr,20,5
a6@ajou.ac.kr,25,4
a6@ajou.ac.kr,26,5
a6@ajou.ac.kr,27,4
a7@ajou.ac.kr,25,5
a7@ajou.ac.kr,26,5
a7@ajou.ac.kr,27,4
a7@ajou.ac.kr,28,4
a7@ajou.ac.kr,29,5
a7@ajou.ac.kr,35,4
a8@ajou.ac.kr,28,5
a8@ajou.ac.kr,29,4
a8@ajou.ac.kr,35,5
a8@ajou.ac.kr,36,4
a8@ajou.ac.kr,38,5
a8@ajou.ac.kr,40,4
a9@ajou.ac.kr,38,4
a9@ajou.ac.kr,40,4
a9@ajou.ac.kr,43,4
a9@ajou.ac.kr,45,5
a9@ajou.ac.kr,50,5
a9@ajou.ac.kr,51,4
a10@ajou.ac.kr,50,5
a10@ajou.ac.kr,51,4
a10@ajou.ac.kr,56,5
a10@ajou.ac.kr,57,4
a10@ajou.ac.kr,60,4
a10@ajou.ac.kr,62,5
b2@ajou.ac.kr,66,5
b2@ajou.ac.kr,68,4
b2@ajou.ac.kr,73,5
b2@ajou.ac.kr,77,4
b2@ajou.ac.kr,79,5
b2@ajou.ac.kr,80,5
b3@ajou.ac.kr,79,4
b3@ajou.ac.kr,80,4
b3@ajou.ac.kr,82,5
b3@ajou.ac.kr,85,4
b3@ajou.ac.kr,90,4
b3@ajou.ac.kr,92,4
b4@ajou.ac.kr,97,5
b4@ajou.ac.kr,6,5
b4@ajou.ac.kr,11,5
b4@ajou.ac.kr,20,5
b4@ajou.ac.kr,29,4
b4@ajou.ac.kr,35,5
b5@ajou.ac.kr,49,5
b5@ajou.ac.kr,63,4
b5@ajou.ac.kr,41,4
b5@ajou.ac.kr,75,5
b5@ajou.ac.kr,89,5
b5@ajou.ac.kr,99,5
b6@ajou.ac.kr,63,5
b6@ajou.ac.kr,72,4
b6@ajou.ac.kr,34,5
b6@ajou.ac.kr,41,5
b6@ajou.ac.kr,46,4
b6@ajou.ac.kr,75,5
b7@ajou.ac.kr,49,4
b7@ajou.ac.kr,72,5
b7@ajou.ac.kr,84,4
b7@ajou.ac.kr,89,5
b7@ajou.ac.kr,99,4
b7@ajou.ac.kr,41,5
b8@ajou.ac.kr,63,4
b8@ajou.ac.kr,72,4
b8@ajou.ac.kr,91,4
b8@ajou.ac.kr,34,4
b8@ajou.ac.kr,41,5
b8@ajou.ac.kr,89,5
b9@ajou.ac.kr,63,4
b9@ajou.ac.kr,91,5
b9@ajou.ac.kr,46,4
b9@ajou.ac.kr,75,5
b9@ajou.ac.kr,84,4
b9@ajou.ac.kr,99,4
b10@ajou.ac.kr,33,5
b10@ajou.ac.kr,37,4
b10@ajou.ac.kr,47,5
b10@ajou.ac.kr,34,4
b10@ajou.ac.kr,41,5
c2@ajou.ac.kr,37,4
c2@ajou.ac.kr,47,5
c2@ajou.ac.kr,61,4
c2@ajou.ac.kr,41,4
c2@ajou.ac.kr,46,4
c2@ajou.ac.kr,75,5
c3@ajou.ac.kr,47,5
c3@ajou.ac.kr,61,4
c3@ajou.ac.kr,95,5
c3@ajou.ac.kr,84,4
c3@ajou.ac.kr,89,5
c4@ajou.ac.kr,33,4
c4@ajou.ac.kr,47,4
c4@ajou.ac.kr,61,5
c4@ajou.ac.kr,89,5
c4@ajou.ac.kr,99,4
c5@ajou.ac.kr,33,5
c5@ajou.ac.kr,37,5
c5@ajou.ac.kr,95,5
c5@ajou.ac.kr,34,4
c5@ajou.ac.kr,41,5
c5@ajou.ac.kr,84,5
c6@ajou.ac.kr,71,4
c6@ajou.ac.kr,93,5
c6@ajou.ac.kr,6,4
c6@ajou.ac.kr,11,5
c6@ajou.ac.kr,20,4
c6@ajou.ac.kr,25,5
c7@ajou.ac.kr,71,4
c7@ajou.ac.kr,93,5
c7@ajou.ac.kr,29,4
c7@ajou.ac.kr,35,4
c7@ajou.ac.kr,36,4
c7@ajou.ac.kr,38,4
